"Address3","County (name)","CloseDate","EstablishmentName","EstablishmentNumber","OpenDate","EstablishmentStatus (name)","Gender (name)","HeadFirstName","HeadHonours","HeadLastName","HeadPreferredJobTitle","HeadTitle (name)","LastChangedDate","LA (name)","LA (code)","Locality","Postcode","PreviousEstablishmentNumber","PreviousLA (name)","PreviousLA (code)","ReasonEstablishmentClosed (name)","ReasonEstablishmentOpened (name)","StatutoryHighAge","StatutoryLowAge","Street","TelephoneNum","TelephoneSTD","Town","TypeOfEstablishment (name)","UKPRN","URN","WebsiteAddress","OfficialSixthForm (name)","FEHEIdentifier","FurtherEducationType (name)","PhaseOfEducation (name)","AdmissionsPolicy (name)","Boarders (name)","BoardingEstablishment (name)","Diocese (name)","OfstedLastInsp","PercentageFSM","RegisteredEY (name)","ReligiousCharacter (name)","SchoolCapacity","MainSpecialism2 (name)","SecondarySpecialism2 (name)","Trusts (name)","TrustSchoolFlag (name)","Federations (name)","FederationFlag (name)","SchoolSponsors (name)","SchoolSponsorFlag (name)","StudioSchoolIndicator (name)","GSSLACode (name)","ASCHighestAge","ASCLowestAge","Boys2","Boys3","Boys4a","Boys4b","Boys4c","Boys5","Boys6","Boys7","Boys8","Boys9","Boys10","Boys11","Boys12","Boys13","Boys14","Boys15","Boys16","Boys17","Boys18","Boys19plus","CensusDate","Girls2andUnder","Girls3","Girls4a","Girls4b","Girls4c","Girls5","Girls6","Girls7","Girls8","Girls9","Girls10","Girls11","Girls12","Girls13","Girls14","Girls15","Girls16","Girls17","Girls18","Girls19plus","NumberOfBoys","NumberOfGirls","NumberOfPupils","AdministrativeWard (name)","GOR (name)","LLSC (name)","LSOA (name)","MSOA (name)","ParliamentaryConstituency (name)","UrbanRural (name)","Easting","Northing","MainSpecialism1 (name)","SecondarySpecialism1 (name)","FreshStart (name)","HP_Leading_Option_1 (name)","HP_Leading_Option_2 (name)","HP_Leading_Option_3 (name)","InvestorInPeople (name)","OfstedSpecialMeasures (name)","PFI (name)","SpecialClasses (name)","TeenMothPlaces","TeenMoth (name)","ApprovedNumberBoardersSpecial","SpecialPupils","CCF (name)","FTProv (name)","EdByOther (name)","EBD (name)","SENPRU (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","Section41Approved (name)"
"","Berkshire","","Langley Hall Primary Academy",2000,"12-09-2011","Open","Mixed","Sally","","Eaton","Executive Head","Mrs","24-06-2014","Slough","871","","SL3 8GW","","","999","","New Provision",11,4,"Station Road","580516","01753","Langley","Free Schools",10035329,136951,"www.lhpa.co.uk","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","13-02-2013","9.1","","Christian",364,"","","Langley Hall Primary Academy Trust","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E06000039",10,4,"0","0","19","14","19","50","49","56","57","49","25","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","16","15","21","52","55","48","47","53","22","0","0","0","0","0","0","0","0","0","340","330","667","Langley St Mary's","South East","","Slough 010C","Slough 010","Slough","Urban > 10k - less sparse",501120,179361,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Woodpecker Hall Primary Academy",2000,"05-09-2011","Open","Mixed","Sharon","","Ahmet","","Headteacher","16-02-2015","Enfield","308","Edmonton","N9 8BF","","","999","","New Provision",11,3,"51 Nightingale Road","84430708","020","London","Free Schools",10035289,136952,"www.woodpeckerhallacademy.org.uk","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","23-01-2013","28.3","","None",480,"","","Cuckoo Hall Academies Trust","Linked to a multi-academy trust","","Not applicable","","-","Not applicable","E09000010",6,3,"0","29","8","11","15","25","30","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","30","7","8","11","35","30","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","239","Jubilee","London","","Enfield 018B","Enfield 018","Edmonton","Urban > 10k - less sparse",535378,194940,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Canary Wharf College",2000,"13-09-2011","Open","Mixed","Sarah","","Counter","Principal","Ms","24-06-2014","Tower Hamlets","211","Isle of Dogs","E14 3BA","","","999","","New Provision",11,4,"197 East Ferry Road","75152328","020","London","Free Schools",10035328,137016,"","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","03-07-2013","4.4","","Christian",280,"","","Canary Wharf College Limited","Linked to a multi-academy trust","","Not applicable","","-","Not applicable","E09000030",8,4,"0","0","8","5","12","18","21","8","12","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","3","3","9","21","19","13","7","0","0","0","0","0","0","0","0","0","0","0","85","75","159","Blackwall and Cubitt Town","London","","Tower Hamlets 030C","Tower Hamlets 030","Poplar and Limehouse","Urban > 10k - less sparse",538006,178555,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","West Yorkshire","","Dixons Kings Academy",4004,"12-09-2011","Open","Mixed","Jane","","Tiller","","Headteacher","07-04-2015","Bradford","380","","BD7 2AN","","","999","","New Provision",16,11,"Northside Road","449706","01274","Bradford","Free Schools",10035313,137277,"","Does not have a sixth form","","","Secondary","Comprehensive","No Boarders","","Not applicable","09-12-2014","23","","None",800,"","","Dixons City Academy Charitable Trust","Linked to a multi-academy trust","","Not applicable","Dixons Academy Trust","Linked to a sponsor","Not applicable","E08000032",14,11,"0","0","0","0","0","0","0","0","0","0","0","95","111","93","x","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","94","67","78","0","0","0","0","0","0","300","240","540","Great Horton","Yorkshire and the Humber","","Bradford 041A","Bradford 041","Bradford South","Urban > 10k - less sparse",414039,432737,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Berkshire","","All Saints Junior School",2002,"06-09-2011","Open","Mixed","Susannah","","Daniel","Headteacher","Mrs","16-02-2015","Reading","870","","RG1 6NP","","","999","","New Provision",11,7,"August House, Brownlow Road","9393362","0118","Reading","Free Schools",10035254,137281,"","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","09-07-2013","8.2","","None",120,"","","CFBT Schools Trust","Linked to a multi-academy trust","","Not applicable","CfBT Education Trust","Linked to a sponsor","Not applicable","E06000038",11,7,"0","0","0","0","0","0","0","11","15","10","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","14","9","13","0","x","0","0","0","0","0","0","0","0","35","35","73","Minster","South East","","Reading 013D","Reading 013","Reading West","Urban > 10k - less sparse",470389,173005,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Leicestershire","","Stephenson Studio School",4004,"01-09-2011","Open","Mixed","Gill","","Laird","Head Teacher","Mrs","10-10-2014","Leicestershire","855","","LE67 3TN","","","999","","New Provision",19,14,"Thornborough Road","519099","01530","Coalville","Studio Schools",10035290,137317,"http://www.stephensonstudioschool.co.uk/","Has a sixth form","","","Secondary","Comprehensive","No Boarders","","Not applicable","05-06-2013","16.7","Not applicable","Does not apply",400,"","","Stephenson Studio School Trust, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000018",17,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","21","7","6","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","19","17","4","0","0","50","55","106","Thringstone","East Midlands","","North West Leicestershire 004B","North West Leicestershire 004","North West Leicestershire","Urban > 10k - less sparse",442182,315340,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","West Yorkshire","","Rainbow Primary School",2000,"12-09-2011","Open","Mixed","Andrea","","Symonds","Principal","","18-12-2014","Bradford","380","","BD5 0HD","","","999","","New Provision",11,5,"Nelson Street","221400","01274","Bradford","Free Schools",10035346,137320,"","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","12-02-2013","25.1","","None",525,"","","Rainbow Schools Trust","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000032",10,4,"0","0","6","3","6","16","13","8","14","10","x","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","3","3","5","17","19","20","12","11","0","0","0","0","0","0","0","0","0","0","75","90","167","Little Horton","Yorkshire and the Humber","","Bradford 045C","Bradford 045","Bradford East","Urban > 10k - less sparse",416535,432332,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","ARK Atwood Primary Academy",2000,"15-09-2011","Open","Mixed","Daniel","","Upfield","","Mr","24-06-2014","Westminster","213","Westminster","W10 4RS","","","999","","New Provision",11,3,"17-23 Third Avenue","89624700","020","London","Free Schools",10035321,137323,"","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","10-07-2013","32.2","","None",450,"","","ARK Schools","Linked to a multi-academy trust","","Not applicable","ARK Schools","Linked to a sponsor","Not applicable","E09000033",6,4,"0","0","11","8","9","38","27","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","13","8","11","22","33","0","0","0","0","0","0","0","0","0","0","0","0","0","95","85","180","Queen's Park","London","","Westminster 004D","Westminster 004","Westminster North","Urban > 10k - less sparse",524423,182533,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Bedfordshire","","Barnfield Moorlands Free School",2005,"05-09-2011","Open","Mixed","Carrie","","Matthews","Principal","Miss","07-04-2015","Luton","821","","LU4 9LE","","","999","","New Provision",11,4,"145 High Street","573376","01582","Luton","Free Schools",10035248,137324,"","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","03-07-2013","9.6","","None",504,"","","Barnfield Academy Trust","Linked to a multi-academy trust","","Not applicable","Barnfield Education Partnership Trust (BEPT)","Linked to a sponsor","Not applicable","E06000032",10,4,"0","0","17","6","8","29","24","26","31","34","32","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","9","4","8","24","26","27","21","20","19","0","0","0","0","0","0","0","0","0","205","160","365","Leagrave","East of England","","Luton 005B","Luton 005","Luton North","Urban > 10k - less sparse",505412,223516,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"Brighton Road","West Sussex","03-04-2014","Discovery New School",2002,"08-09-2011","Closed","Mixed","Lindsey","","Snowdon","","Mrs","24-06-2014","West Sussex","938","Broadfield House","RH11 9RZ","","","999","Closure","New Provision",11,4,"Broadfield House","649320","01293","Crawley","Free Schools",10035249,137326,"www.discoverynewschool.org","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","01-05-2013","7.1","","None",112,"","","","-","","Not applicable","","-","Not applicable","E10000032",9,4,"0","0","x","x","3","4","7","4","x","x","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","0","x","x","8","4","x","x","x","0","0","0","0","0","0","0","0","0","0","25","20","42","Broadfield South","South East","","Crawley 013C","Crawley 013","Crawley","Urban > 10k - less sparse","","","","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","ARK Conway Primary Academy",2000,"15-09-2011","Open","Mixed","Damian","","McBeath","","Mr","15-12-2014","Hammersmith and Fulham","205","Hammersmith","W12 0QT","","","999","","New Provision",11,3,"60 Hemlock Road","32491180","020","London","Free Schools",10035324,137331,"","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","03-07-2013","14.4","","None",210,"","","ARK Schools","Linked to a multi-academy trust","","Not applicable","ARK Schools","Linked to a sponsor","Not applicable","E09000013",6,4,"0","0","5","x","4","12","16","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","5","3","11","18","14","0","0","0","0","0","0","0","0","0","0","0","0","0","40","50","90","Wormholt and White City","London","","Hammersmith and Fulham 003C","Hammersmith and Fulham 003","Hammersmith","Urban > 10k - less sparse",522054,180889,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","West Yorkshire","","Batley Grammar School",6012,"05-09-2011","Open","Mixed","B P","","Tullie","Head","Mrs","27-03-2015","Kirklees","382","","WF17 0AD","","","999","","New Provision",19,3,"Carlinghow Hill","474980","01924","Batley","Free Schools",10035203,137487,"http://www.batleygrammar.co.uk","Has a sixth form","","Not applicable","All Through","Comprehensive","No Boarders","Has boarders","Not applicable","28-01-2015","9.2","Not applicable","",700,"Not applicable","Not applicable","Batley Academy Trust","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000034",18,4,"0","0","5","x","6","14","14","13","18","15","14","49","61","43","51","37","21","22","5","0","16-01-2014","0","0","4","4","5","12","11","12","8","11","12","36","53","44","32","33","14","16","4","0","390","310","701","Batley West","Yorkshire and the Humber","West Yorkshire","Kirklees 006B","Kirklees 006","Batley and Spen","Urban > 10k - less sparse",423805,425126,"Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Uninvolved at present","Not in special measures","Not part of PFI","No Special Classes","","Not applicable","",0,"Not applicable","","Not applicable","Not applicable","Not applicable","","","","Not applicable"
"","Warwickshire","","The Priors School",2000,"05-09-2011","Open","Mixed","Gary","","Murrell","","Mr","24-06-2014","Warwickshire","937","Priors Marston","CV47 7RR","","","999","","New Provision",11,4,"School Lane","260627","01327","Southam","Free Schools",10035235,137488,"","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","19-06-2013","x","","None",70,"","","Priors School, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000031",10,4,"0","0","3","x","3","9","6","7","7","x","x","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","3","x","x","4","7","4","0","0","x","0","0","0","0","0","0","0","0","0","40","25","63","Fenny Compton","West Midlands","","Stratford-on-Avon 005A","Stratford-on-Avon 005","Kenilworth and Southam","Village - less sparse",448994,257579,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Cheshire","","Sandbach School",6010,"06-09-2011","Open","Boys","Sarah","","Burns","Headteacher","Mrs","27-02-2015","Cheshire East","895","","CW11 3NS",6024,"Pre LGR (2009) Cheshire","875","","New Provision",19,11,"Crewe Road","758870","01270","Sandbach","Free Schools",10024776,137491,"www.sandbachschool.org","Has a sixth form","","Not applicable","Secondary","Comprehensive","No Boarders","","Not applicable","18-11-2014","5.1","Not applicable","",1300,"Not applicable","Not applicable","Sandbach School","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E06000049",18,11,"0","0","0","0","0","0","0","0","0","0","0","232","191","207","209","210","130","89","4","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1270","0","1272","Sandbach Town","North West","Cheshire and Warrington","Congleton 010C","Congleton 010","Congleton","Urban > 10k - less sparse",375296,360699,"Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Committed IiP Status","Not in special measures","Not part of PFI","No Special Classes","","Not applicable","",0,"Not applicable","","Not applicable","Not applicable","Not applicable","","","","Not applicable"
